Folder_ID	Encoding_Vector
113_O	1 0.421053 0.578947 0.115385 0.551282 0.333333 0.185185 0.444444 0.37037 0.115385 0.602564 0.282051 0.0362319 0.289855 0.478261 0.195652 0.0185185 0.268519 0.583333 0.12963 0.0777778 0.222222 0.511111 0.188889 0.0263158 0.263158 0.631579 0.0789474 
114	1 0.368421 0.631579 0.0769231 0.512821 0.410256 0.0740741 0.5 0.425926 0.128205 0.461538 0.410256 0.00724638 0.195652 0.543478 0.253623 0.0185185 0.212963 0.481481 0.287037 0.0111111 0.233333 0.5 0.255556 0.0526316 0.131579 0.5 0.315789 
114_O	1 0.578947 0.421053 0.307692 0.576923 0.115385 0.388889 0.425926 0.185185 0.371795 0.423077 0.205128 0.181159 0.471014 0.326087 0.0217391 0.166667 0.527778 0.25 0.0555556 0.288889 0.3 0.333333 0.0777778 0.263158 0.368421 0.289474 0.0789474 
115	1 0.447368 0.552632 0.153846 0.538462 0.307692 0.166667 0.537037 0.296296 0.192308 0.512821 0.294872 0.0434783 0.333333 0.463768 0.15942 0.0740741 0.268519 0.537037 0.12037 0.0555556 0.333333 0.455556 0.155556 0.0526316 0.315789 0.473684 0.157895 
115_O	1 0.552632 0.447368 0.333333 0.474359 0.192308 0.277778 0.5 0.222222 0.24359 0.589744 0.166667 0.173913 0.405797 0.326087 0.0942029 0.138889 0.444444 0.342593 0.0740741 0.144444 0.433333 0.355556 0.0666667 0.0526316 0.421053 0.473684 0.0526316 
116	1 0.447368 0.552632 0.192308 0.538462 0.269231 0.185185 0.5 0.314815 0.166667 0.551282 0.282051 0.0724638 0.362319 0.413043 0.152174 0.0648148 0.361111 0.444444 0.12963 0.0888889 0.3 0.477778 0.133333 0 0.421053 0.394737 0.184211 
116_O	1 0.552632 0.447368 0.24359 0.551282 0.205128 0.333333 0.425926 0.240741 0.25641 0.589744 0.153846 0.152174 0.362319 0.384058 0.101449 0.12963 0.37963 0.425926 0.0648148 0.177778 0.355556 0.355556 0.111111 0.0789474 0.526316 0.368421 0.0263158 
117	1 0.421053 0.578947 0.153846 0.564103 0.282051 0.222222 0.407407 0.37037 0.192308 0.461538 0.346154 0.057971 0.369565 0.398551 0.173913 0.037037 0.37037 0.444444 0.148148 0.155556 0.211111 0.411111 0.222222 0.157895 0.210526 0.394737 0.236842 
117_O	1 0.5 0.5 0.217949 0.525641 0.25641 0.166667 0.574074 0.259259 0.282051 0.435897 0.282051 0.0797101 0.34058 0.471014 0.108696 0.0925926 0.388889 0.37037 0.148148 0.0777778 0.388889 0.411111 0.122222 0.131579 0.210526 0.447368 0.210526 
118	1 0.552632 0.447368 0.269231 0.589744 0.141026 0.296296 0.5 0.203704 0.269231 0.551282 0.179487 0.123188 0.471014 0.362319 0.0434783 0.0925926 0.527778 0.324074 0.0555556 0.144444 0.444444 0.333333 0.0777778 0.105263 0.5 0.315789 0.0789474 
118_O	1 0.631579 0.368421 0.24359 0.653846 0.102564 0.462963 0.333333 0.203704 0.423077 0.423077 0.153846 0.144928 0.463768 0.369565 0.0217391 0.0833333 0.638889 0.259259 0.0185185 0.288889 0.388889 0.144444 0.177778 0.315789 0.394737 0.157895 0.131579 
119	1 0.368421 0.631579 0.0769231 0.487179 0.435897 0.0925926 0.462963 0.444444 0.166667 0.384615 0.448718 0.00724638 0.181159 0.528986 0.282609 0.0277778 0.231481 0.416667 0.324074 0.0444444 0.188889 0.466667 0.3 0.0526316 0.210526 0.263158 0.473684 
119_O	1 0.552632 0.447368 0.294872 0.551282 0.153846 0.314815 0.444444 0.240741 0.282051 0.525641 0.192308 0.152174 0.449275 0.326087 0.0724638 0.138889 0.425926 0.388889 0.0462963 0.188889 0.4 0.3 0.111111 0.105263 0.447368 0.368421 0.0789474 
11_O	1 0.5 0.5 0.192308 0.641026 0.166667 0.314815 0.37037 0.314815 0.307692 0.397436 0.294872 0.101449 0.391304 0.442029 0.0652174 0.0925926 0.444444 0.398148 0.0648148 0.2 0.322222 0.255556 0.222222 0.184211 0.263158 0.394737 0.157895 
12	1 0.473684 0.526316 0.24359 0.5 0.25641 0.240741 0.5 0.259259 0.192308 0.551282 0.25641 0.123188 0.362319 0.384058 0.130435 0.111111 0.388889 0.37963 0.12037 0.133333 0.288889 0.488889 0.0888889 0.0526316 0.394737 0.447368 0.105263 
120	1 0.605263 0.394737 0.435897 0.423077 0.141026 0.407407 0.444444 0.148148 0.358974 0.5 0.141026 0.289855 0.442029 0.195652 0.0724638 0.287037 0.425926 0.240741 0.0462963 0.244444 0.488889 0.188889 0.0777778 0.210526 0.473684 0.289474 0.0263158 
120_O	1 0.421053 0.578947 0.179487 0.5 0.320513 0.166667 0.574074 0.259259 0.179487 0.5 0.320513 0.0652174 0.326087 0.478261 0.130435 0.0833333 0.333333 0.425926 0.157407 0.0444444 0.355556 0.477778 0.122222 0.105263 0.368421 0.315789 0.210526 
121	1 0.368421 0.631579 0.166667 0.384615 0.448718 0.185185 0.351852 0.462963 0.102564 0.525641 0.371795 0.101449 0.231884 0.304348 0.362319 0.0648148 0.25 0.37037 0.314815 0.0666667 0.288889 0.311111 0.333333 0 0.289474 0.5 0.210526 
121_O	1 0.526316 0.473684 0.282051 0.474359 0.24359 0.240741 0.518519 0.240741 0.269231 0.538462 0.192308 0.144928 0.384058 0.34058 0.130435 0.12963 0.398148 0.37037 0.101852 0.1 0.455556 0.333333 0.111111 0.105263 0.368421 0.473684 0.0526316 
122	1 0.605263 0.394737 0.371795 0.423077 0.205128 0.388889 0.407407 0.203704 0.346154 0.487179 0.166667 0.253623 0.333333 0.304348 0.108696 0.212963 0.37963 0.324074 0.0833333 0.244444 0.388889 0.277778 0.0888889 0.184211 0.394737 0.342105 0.0789474 
122_O	1 0.473684 0.526316 0.153846 0.564103 0.282051 0.222222 0.425926 0.351852 0.205128 0.525641 0.269231 0.0434783 0.362319 0.42029 0.173913 0.0648148 0.268519 0.555556 0.111111 0.133333 0.222222 0.466667 0.177778 0.0789474 0.289474 0.473684 0.157895 
123	1 0.552632 0.447368 0.166667 0.576923 0.25641 0.240741 0.518519 0.240741 0.333333 0.423077 0.24359 0.0507246 0.355072 0.471014 0.123188 0.0740741 0.407407 0.361111 0.157407 0.133333 0.322222 0.4 0.144444 0.184211 0.236842 0.394737 0.184211 
123_O	1 0.421053 0.578947 0.153846 0.551282 0.294872 0.148148 0.574074 0.277778 0.217949 0.423077 0.358974 0.0507246 0.326087 0.5 0.123188 0.0740741 0.351852 0.398148 0.175926 0.0555556 0.344444 0.433333 0.166667 0.131579 0.210526 0.5 0.157895 
124	1 0.578947 0.421053 0.358974 0.435897 0.205128 0.314815 0.5 0.185185 0.294872 0.551282 0.153846 0.210145 0.405797 0.268116 0.115942 0.194444 0.416667 0.277778 0.111111 0.166667 0.433333 0.344444 0.0555556 0.131579 0.473684 0.342105 0.0526316 
